date,open,high,low,close,volume,mcap
5/5/2019,5831.07,5833.86,5708.04,5795.71,14808830723,1.02494E+11
5/6/2019,5791.69,5802.96,5653.69,5746.81,15737171804,1.0164E+11
5/7/2019,5745.6,5988.18,5741.4,5829.5,18026409033,1.03112E+11
5/8/2019,5849.48,5989.98,5794.72,5982.46,15320605300,1.05829E+11
5/9/2019,5982.32,6183.04,5982.32,6174.53,16784645411,1.09239E+11
5/10/2019,6175.82,6434.62,6161.52,6378.85,19419875368,1.12863E+11
5/11/2019,6379.67,7333,6375.7,7204.77,28867562329,1.27488E+11
5/12/2019,7203.51,7503.87,6815.77,6972.37,27773333680,1.2339E+11
5/13/2019,6971.18,8047.41,6898.28,7814.92,28677672181,1.38317E+11
5/14/2019,7807.88,8268.71,7696.39,7994.42,32031452227,1.41509E+11
5/15/2019,7989.37,8216.42,7899.11,8205.17,28344112920,1.45254E+11
5/16/2019,8194.5,8320.82,7729.61,7884.91,33167197581,1.396E+11
5/17/2019,7886.93,7929.15,7038.12,7343.9,30066644905,1.30035E+11
5/18/2019,7341.66,7447.27,7251.5,7271.21,21354286562,1.28762E+11
5/19/2019,7267.96,8261.94,7267.96,8197.69,25902422040,1.45185E+11
5/20/2019,8196.92,8200.97,7678.78,7978.31,23843404340,1.41316E+11
5/21/2019,7977.97,8062.17,7843.34,7963.33,25127245056,1.41066E+11
5/22/2019,7956.29,7997.61,7615.99,7680.07,24719473175,1.36064E+11
5/23/2019,7677.27,7943.79,7533.2,7881.85,24457107820,1.39654E+11
5/24/2019,7881.7,8140.72,7824.45,7987.37,25919126991,1.41539E+11
5/25/2019,7991.89,8117.93,7965.98,8052.54,22256813107,1.42708E+11
5/26/2019,8055.21,8687.52,7924.67,8673.22,26677970092,1.53725E+11
5/27/2019,8674.07,8907.17,8668.7,8805.78,27949839564,1.56094E+11
5/28/2019,8802.76,8807.02,8634.72,8719.96,24226919267,1.5459E+11
5/29/2019,8718.59,8755.85,8482.73,8659.49,23473479966,1.53537E+11
5/30/2019,8661.76,9008.31,8221.27,8319.47,29246528551,1.47525E+11
5/31/2019,8320.29,8586.66,8172.55,8574.5,25365190957,1.5206E+11
6/1/2019,8573.84,8625.6,8481.58,8564.02,22488303544,1.5189E+11
6/2/2019,8565.47,8809.3,8561.24,8742.96,20266216022,1.55077E+11
6/3/2019,8741.75,8743.5,8204.19,8208.99,22004511436,1.45619E+11
6/4/2019,8210.99,8210.99,7564.49,7707.77,24609731549,1.36743E+11
6/5/2019,7704.34,7901.85,7668.67,7824.23,21760923463,1.38825E+11
6/6/2019,7819.63,7937.34,7571.47,7822.02,19474611077,1.38801E+11
6/7/2019,7826.9,8126.15,7788.37,8043.95,19141423231,1.42755E+11
6/8/2019,8036.77,8076.89,7837.61,7954.13,16522722810,1.41173E+11
6/9/2019,7949.67,7975.97,7583.22,7688.08,16610726547,1.36465E+11
6/10/2019,7692.28,8031.91,7586.73,8000.33,18689275117,1.42023E+11
6/11/2019,8004.24,8026.39,7772.8,7927.71,17107279932,1.40749E+11
6/12/2019,7925.43,8196.65,7862.36,8145.86,19034432883,1.44635E+11
6/13/2019,8145.55,8311.57,8087.06,8230.92,18669407147,1.4616E+11
6/14/2019,8230.9,8710.64,8183.39,8693.83,19831162906,1.54399E+11
6/15/2019,8689.75,8859.13,8618.4,8838.38,18371033226,1.56982E+11
6/16/2019,8841.44,9335.87,8814.56,8994.49,23348550311,1.59769E+11
6/17/2019,8988.92,9416.41,8988.92,9320.35,15562951919,1.65573E+11
6/18/2019,9335.47,9348.37,9004.9,9081.76,15848210536,1.61354E+11
6/19/2019,9078.73,9299.62,9070.4,9273.52,15546809946,1.64781E+11
6/20/2019,9273.06,9594.42,9232.48,9527.16,17846823784,1.69305E+11
6/21/2019,9525.07,10144.56,9525.07,10144.56,20624008643,1.80293E+11
6/22/2019,10175.92,11157.35,10107.04,10701.69,29995204861,1.90214E+11
6/23/2019,10696.69,11246.14,10556.1,10855.37,20998326502,1.9297E+11
6/24/2019,10853.74,11065.9,10610.43,11011.1,19271652365,1.95763E+11
6/25/2019,11007.2,11790.92,11007.2,11790.92,24879684533,2.09648E+11
6/26/2019,11778.58,13796.49,11755.6,13016.23,45105733173,2.31462E+11
6/27/2019,13017.12,13311.14,10491.85,11182.81,39977475223,1.98879E+11
6/28/2019,11162.17,12445.18,10914.49,12407.33,35087757766,2.20681E+11
6/29/2019,12400.76,12400.91,11508.38,11959.37,29923961128,2.1274E+11
6/30/2019,11931.99,12178.38,10799.01,10817.16,27256473494,1.92442E+11
7/1/2019,10796.93,11206.44,10089.31,10583.13,29378589324,1.88298E+11
7/2/2019,10588.68,10912.19,9737.88,10801.68,31015895223,1.92207E+11
7/3/2019,10818.16,11968.08,10818.16,11961.27,30796494294,2.12867E+11
7/4/2019,11972.72,12006.08,11166.57,11215.44,25920294033,1.99617E+11
7/5/2019,11203.1,11395.66,10874.96,10978.46,23838480210,1.95425E+11
7/6/2019,10982.54,11620.97,10982.54,11208.55,21092024306,1.99546E+11
7/7/2019,11217.62,11541.62,11148.8,11450.85,19369044277,2.03882E+11
7/8/2019,11446.6,12345.83,11393.37,12285.96,23482551458,2.18778E+11
7/9/2019,12284.33,12779.13,12233.26,12573.81,28167921523,2.23928E+11
7/10/2019,12571.54,13129.53,11710.98,12156.51,33627574244,2.16516E+11
7/11/2019,12139.71,12144.62,11158.92,11358.66,28595327690,2.02324E+11
7/12/2019,11354.3,11905.49,11179.14,11815.99,23534692797,2.10494E+11
7/13/2019,11813.13,11841.96,10908.48,11392.38,21042616384,2.02968E+11
7/14/2019,11381.02,11451.2,10234.58,10256.06,22486000001,1.82742E+11
7/15/2019,10257.84,11052.77,9992.01,10895.09,25384047207,1.94148E+11
7/16/2019,10896.65,10996.63,9448.11,9477.64,24151199070,1.68909E+11
7/17/2019,9471.21,9963.13,9163.13,9693.8,24569921549,1.72777E+11
7/18/2019,9698.5,10736.84,9376.8,10666.48,25187024648,1.9013E+11
7/19/2019,10653.96,10716.98,10229.63,10530.73,20727426310,1.87726E+11
7/20/2019,10525.82,11048.66,10451.28,10767.14,20206615155,1.91964E+11
7/21/2019,10777.53,10841.89,10389.6,10599.11,17130580467,1.88987E+11
7/22/2019,10596.95,10651.79,10154.92,10343.11,16334414913,1.84443E+11
7/23/2019,10346.75,10346.75,9883.6,9900.77,17851916995,1.76573E+11
7/24/2019,9887.73,9908.8,9614.31,9811.93,17398734322,1.75006E+11
7/25/2019,9809.1,10154.25,9773.96,9911.84,15821952090,1.76806E+11
7/26/2019,9913.13,9916.52,9717.98,9870.3,14495714483,1.76086E+11
7/27/2019,9871.16,10167.32,9411.52,9477.68,16817809536,1.691E+11
7/28/2019,9491.63,9575.55,9252.3,9552.86,13738687093,1.70462E+11
7/29/2019,9548.18,9681.65,9472.95,9519.15,13791445323,1.6988E+11
7/30/2019,9522.33,9701.76,9437.34,9607.42,13829811132,1.71472E+11
7/31/2019,9604.05,10085.63,9598.1,10085.63,16631520648,1.80029E+11
8/1/2019,10077.44,10446.92,9922.02,10399.67,17165337858,1.85653E+11
8/2/2019,10402.04,10657.95,10371.01,10518.17,17489094082,1.87791E+11
8/3/2019,10519.28,10946.78,10503.5,10821.73,15352685061,1.93234E+11
8/4/2019,10821.63,11009.21,10620.28,10970.18,16530894787,1.95908E+11
8/5/2019,10960.74,11895.09,10960.74,11805.65,23875988832,2.10849E+11
8/6/2019,11811.55,12273.82,11290.73,11478.17,23635107660,2.05023E+11
8/7/2019,11476.19,12036.99,11433.7,11941.97,22194988641,2.1333E+11
8/8/2019,11954.04,11979.42,11556.17,11966.41,19481591730,2.13788E+11
8/9/2019,11953.47,11970.46,11709.75,11862.94,18339989960,2.11961E+11
8/10/2019,11861.56,11915.66,11323.9,11354.02,18125355447,2.0289E+11
8/11/2019,11349.74,11523.58,11248.29,11523.58,15774371518,2.05942E+11
8/12/2019,11528.19,11528.19,11320.95,11382.62,13647198229,2.03441E+11
8/13/2019,11385.05,11420.05,10830.33,10895.83,16681503537,1.94763E+11
8/14/2019,10889.49,10889.56,10028.14,10051.7,19990838300,1.79693E+11
8/15/2019,10038.42,10437.41,9675.32,10311.55,22899115082,1.84358E+11
8/16/2019,10319.42,10524.35,9855.48,10374.34,20228207096,1.855E+11
8/17/2019,10358.72,10452.62,10086.7,10231.74,13778035685,1.82967E+11
8/18/2019,10233.01,10487.07,10119.09,10345.81,12999813869,1.85023E+11
8/19/2019,10350.28,10916.05,10313.2,10916.05,16038264603,1.95243E+11
8/20/2019,10916.35,10947.04,10618.96,10763.23,15053082175,1.9253E+11
8/21/2019,10764.57,10798.73,9962.72,10138.05,19473084768,1.81365E+11
8/22/2019,10142.52,10233,9831.46,10131.06,17097508856,1.81257E+11
8/23/2019,10136.31,10442.44,10078.19,10407.97,15627023886,1.86231E+11
8/24/2019,10407.64,10418.02,9982.3,10159.96,15451030650,1.81814E+11
8/25/2019,10160.74,10304.62,10008.79,10138.52,14153856610,1.8145E+11
8/26/2019,10126.3,10512.33,10126.3,10370.82,18438654080,1.85625E+11
8/27/2019,10372.83,10381.33,10087.3,10185.5,14762609503,1.82326E+11
8/28/2019,10203.43,10279.37,9716.66,9754.42,17603790323,1.74627E+11
8/29/2019,9756.79,9756.79,9421.63,9510.2,17045878501,1.70275E+11
8/30/2019,9514.84,9656.12,9428.3,9598.17,13595263986,1.71869E+11
8/31/2019,9597.54,9673.22,9531.8,9630.66,11454806419,1.72471E+11
9/1/2019,9630.59,9796.76,9582.94,9757.97,11445355859,1.74768E+11
9/2/2019,9757.47,10396.59,9730.65,10346.76,17248102294,1.85333E+11
9/3/2019,10345.73,10736.1,10308.55,10623.54,19384917989,1.90312E+11
9/4/2019,10621.18,10762.64,10434.71,10594.49,16742664769,1.8981E+11
9/5/2019,10588.18,10627.27,10516.42,10575.53,14551239508,1.89492E+11
9/6/2019,10578.2,10898.76,10292.3,10353.3,19536574783,1.8553E+11
9/7/2019,10353.93,10558.67,10348.92,10517.25,15307366476,1.88489E+11
9/8/2019,10518.11,10595.64,10409.09,10441.28,13670567493,1.8715E+11
9/9/2019,10443.23,10450.31,10144.93,10334.97,17595943368,1.85264E+11
9/10/2019,10336.41,10394.35,10020.57,10115.98,14906809639,1.81361E+11
9/11/2019,10123.03,10215.95,9980.78,10178.37,15428063426,1.82503E+11
9/12/2019,10176.82,10442.25,10099.24,10410.13,15323563925,1.86679E+11
9/13/2019,10415.36,10441.49,10226.6,10360.55,14109864675,1.85809E+11
9/14/2019,10345.4,10422.13,10291.69,10358.05,13468713124,1.85784E+11
9/15/2019,10356.47,10387.03,10313.09,10347.71,12043433567,1.85618E+11
9/16/2019,10347.22,10386.87,10189.74,10276.79,15160167779,1.84367E+11
9/17/2019,10281.51,10296.77,10199.74,10241.27,15304603363,1.83749E+11
9/18/2019,10247.8,10275.93,10191.47,10198.25,16169268880,1.82999E+11
9/19/2019,10200.5,10295.67,9851.69,10266.41,19937691247,1.84241E+11
9/20/2019,10266.32,10285.87,10132.19,10181.64,14734189639,1.82739E+11
9/21/2019,10183.65,10188.1,10000.71,10019.72,13425266806,1.79853E+11
9/22/2019,10024.12,10074.44,9922.53,10070.39,13199651698,1.80784E+11
9/23/2019,10067.96,10074.24,9727.14,9729.32,15144925408,1.74675E+11
9/24/2019,9729.32,9804.32,8370.8,8620.57,25002886689,1.54786E+11
9/25/2019,8603.43,8744.83,8325.4,8486.99,21744728353,1.52404E+11
9/26/2019,8487.67,8515.69,7895.63,8118.97,19258205289,1.45812E+11
9/27/2019,8113.1,8271.52,7965.92,8251.85,16408941156,1.48213E+11
9/28/2019,8251.27,8285.62,8125.43,8245.92,14141152736,1.48123E+11
9/29/2019,8246.04,8261.71,7990.5,8104.19,13034629109,1.4559E+11
9/30/2019,8104.23,8314.23,7830.76,8293.87,17115474183,1.49012E+11
10/1/2019,8299.72,8497.69,8232.68,8343.28,15305343413,1.49914E+11
10/2/2019,8344.21,8393.04,8227.7,8393.04,13125712443,1.50824E+11
10/3/2019,8390.77,8414.23,8146.44,8259.99,13668823409,1.48448E+11
10/4/2019,8259.49,8260.06,8151.24,8205.94,13139456229,1.47492E+11
10/5/2019,8210.15,8215.53,8071.12,8151.5,12200497197,1.46529E+11
10/6/2019,8149.88,8161.41,7958.85,7988.16,13160830305,1.43608E+11
10/7/2019,7989.12,8308.45,7905.77,8245.62,18009742607,1.48253E+11
10/8/2019,8246.85,8332.72,8185.76,8228.78,15592264032,1.47966E+11
10/9/2019,8229.84,8627.71,8169.3,8595.74,19384942333,1.5458E+11
10/10/2019,8585.28,8625.27,8471.93,8586.47,17618660671,1.54431E+11
10/11/2019,8585.26,8721.78,8316.18,8321.76,19604381101,1.49686E+11
10/12/2019,8315.66,8415.24,8313.34,8336.56,14532641605,1.49966E+11
10/13/2019,8336.9,8470.99,8276.61,8321.01,13808286059,1.49701E+11
10/14/2019,8320.83,8390.21,8284.13,8374.69,15151387859,1.5068E+11
10/15/2019,8373.46,8410.71,8182.71,8205.37,15220412632,1.4765E+11
10/16/2019,8204.67,8216.81,7985.09,8047.53,16071646996,1.44824E+11
10/17/2019,8047.81,8134.83,8000.94,8103.91,14313052244,1.45854E+11
10/18/2019,8100.93,8138.41,7902.16,7973.21,15651592610,1.43518E+11
10/19/2019,7973.8,8082.63,7944.78,7988.56,13797825640,1.43808E+11
10/20/2019,7997.81,8281.82,7949.44,8222.08,15504249442,1.48027E+11
10/21/2019,8225.12,8296.69,8196.42,8243.72,15868748866,1.48433E+11
10/22/2019,8243.4,8296.65,8074.46,8078.2,16803377857,1.4547E+11
10/23/2019,8076.23,8093,7469.32,7514.67,21942878958,1.35337E+11
10/24/2019,7509.73,7532.87,7446.99,7493.49,16268708849,1.34968E+11
10/25/2019,7490.7,8691.54,7479.98,8660.7,28705065488,1.56007E+11
10/26/2019,8667.58,10021.74,8662.62,9244.97,44496255609,1.66547E+11
10/27/2019,9241.71,9749.53,9112.54,9551.71,32593129501,1.72087E+11
10/28/2019,9565.1,9805.12,9256.15,9256.15,30948255332,1.66777E+11
10/29/2019,9248.44,9516.18,9232.65,9427.69,28426779937,1.69884E+11
10/30/2019,9422.46,9426.87,9085.37,9205.73,27706531577,1.659E+11
10/31/2019,9202.46,9383.16,9028.72,9199.58,26583653947,1.65804E+11
11/1/2019,9193.99,9275.66,9132.05,9261.1,24324691031,1.66928E+11
11/2/2019,9259.78,9377.49,9249.59,9324.72,21242676385,1.6809E+11
11/3/2019,9324.79,9379.81,9141.25,9235.35,21132220847,1.66495E+11
11/4/2019,9235.61,9505.05,9191.49,9412.61,26170255634,1.69706E+11
11/5/2019,9413,9457.42,9256.93,9342.53,26198609048,1.6846E+11
11/6/2019,9340.86,9423.24,9305.91,9360.88,23133895765,1.68806E+11
11/7/2019,9352.39,9368.48,9202.35,9267.56,22700383839,1.67139E+11
11/8/2019,9265.37,9272.76,8775.53,8804.88,24333037836,1.58809E+11
11/9/2019,8809.47,8891.82,8793.16,8813.58,17578630606,1.58981E+11
11/10/2019,8812.49,9103.83,8806.16,9055.53,20587919881,1.63364E+11
11/11/2019,9056.92,9081.28,8700.61,8757.79,20265510765,1.5801E+11
11/12/2019,8759.75,8853.77,8685.43,8815.66,20309769107,1.59069E+11
11/13/2019,8812.03,8836.84,8761.65,8808.26,17545755405,1.5895E+11
11/14/2019,8811.94,8826.94,8692.55,8708.1,19084739975,1.57161E+11
11/15/2019,8705.71,8730.87,8484.84,8491.99,21796856471,1.53277E+11
11/16/2019,8491.17,8592,8473.97,8550.76,16495389808,1.54354E+11
11/17/2019,8549.47,8727.79,8500.97,8577.98,18668638897,1.54862E+11
11/18/2019,8573.98,8653.28,8273.57,8309.29,21579470673,1.50026E+11
11/19/2019,8305.13,8408.52,8099.96,8206.15,21083613816,1.48178E+11
11/20/2019,8203.61,8237.24,8010.51,8027.27,20764300437,1.44963E+11
11/21/2019,8023.64,8110.1,7597.38,7642.75,22514243371,1.38032E+11
11/22/2019,7643.57,7697.38,6936.71,7296.58,34242315785,1.31792E+11
11/23/2019,7296.16,7442.26,7151.42,7397.8,21008924418,1.33636E+11
11/24/2019,7398.63,7408.58,7029.29,7047.92,30433517289,1.27327E+11
11/25/2019,7039.98,7319.86,6617.17,7146.13,42685231262,1.29113E+11
11/26/2019,7145.16,7320.23,7098.57,7218.37,21129505542,1.30429E+11
11/27/2019,7220.88,7619.69,6974.17,7531.66,23991412764,1.36103E+11
11/28/2019,7536.82,7730.07,7454.12,7463.11,19050116751,1.34879E+11
11/29/2019,7466.73,7781.18,7460.76,7761.24,19709695456,1.4028E+11
11/30/2019,7764.06,7836.1,7515.85,7569.63,17158194786,1.36829E+11
12/1/2019,7571.62,7571.62,7291.34,7424.29,18720708479,1.34215E+11
12/2/2019,7424.04,7474.82,7233.4,7321.99,17082040706,1.32379E+11
12/3/2019,7323.98,7418.86,7229.36,7320.15,14797485769,1.3236E+11
12/4/2019,7320.13,7539.78,7170.92,7252.03,21664240918,1.31143E+11
12/5/2019,7253.24,7743.43,7232.68,7448.31,18816085231,1.34706E+11
12/6/2019,7450.56,7547,7392.18,7547,18104466307,1.36505E+11
12/7/2019,7547.27,7589.95,7525.71,7556.24,15453520564,1.36687E+11
12/8/2019,7551.34,7634.61,7476.09,7564.35,15409908086,1.36847E+11
12/9/2019,7561.8,7618.09,7365.99,7400.9,17872021272,1.33904E+11
12/10/2019,7397.13,7424.02,7246.04,7278.12,18249031195,1.31696E+11
12/11/2019,7277.2,7324.16,7195.53,7217.43,16350490689,1.3061E+11
12/12/2019,7216.74,7266.64,7164.74,7243.13,18927080224,1.31087E+11
12/13/2019,7244.66,7293.56,7227.12,7269.68,17125736940,1.31581E+11
12/14/2019,7268.9,7308.84,7097.21,7124.67,17137029730,1.2897E+11
12/15/2019,7124.24,7181.08,6924.38,7152.3,16881129804,1.29481E+11
12/16/2019,7153.66,7171.17,6903.68,6932.48,20213265950,1.25516E+11
12/17/2019,6931.32,6964.07,6587.97,6640.52,22363804217,1.20234E+11
12/18/2019,6647.7,7324.98,6540.05,7276.8,31836522778,1.31755E+11
12/19/2019,7277.59,7346.6,7041.38,7202.84,25904604416,1.30446E+11
12/20/2019,7208.64,7257.92,7086.12,7218.82,22633815180,1.30753E+11
12/21/2019,7220.59,7223.23,7112.74,7191.16,19312552168,1.30268E+11
12/22/2019,7191.19,7518.03,7167.18,7511.59,23134537956,1.36088E+11
12/23/2019,7508.9,7656.18,7326.19,7355.63,27831788041,1.33276E+11
12/24/2019,7354.39,7535.72,7269.53,7322.53,22991622105,1.32688E+11
12/25/2019,7325.76,7357.02,7220.99,7275.16,21559505149,1.31841E+11
12/26/2019,7274.8,7388.3,7200.39,7238.97,22787010034,1.312E+11
12/27/2019,7238.14,7363.53,7189.93,7290.09,22777360996,1.3214E+11
12/28/2019,7289.03,7399.04,7286.91,7317.99,21365673026,1.32659E+11
12/29/2019,7317.65,7513.95,7279.87,7422.65,22445257702,1.34571E+11
12/30/2019,7420.27,7454.82,7276.31,7293,22874131672,1.32235E+11
12/31/2019,7294.44,7335.29,7169.78,7193.6,21167946112,1.30446E+11
1/1/2020,7194.89,7254.33,7174.94,7200.17,18565664997,1.30581E+11
1/2/2020,7202.55,7212.16,6935.27,6985.47,20802083465,1.26699E+11
1/3/2020,6984.43,7413.72,6915,7344.88,28111481032,1.33233E+11
1/4/2020,7345.38,7427.39,7309.51,7410.66,18444271275,1.34442E+11
1/5/2020,7410.45,7544.5,7400.54,7411.32,19725074095,1.3447E+11
1/6/2020,7410.45,7781.87,7409.29,7769.22,23276261598,1.40976E+11
1/7/2020,7768.68,8178.22,7768.23,8163.69,28767291327,1.48152E+11
1/8/2020,8161.94,8396.74,7956.77,8079.86,31672559265,1.46645E+11
1/9/2020,8082.3,8082.3,7842.4,7879.07,24045990466,1.43017E+11
1/10/2020,7878.31,8166.55,7726.77,8166.55,28714583844,1.4825E+11
1/11/2020,8162.19,8218.36,8029.64,8037.54,25521165085,1.45924E+11
1/12/2020,8033.26,8200.06,8009.06,8192.49,22903438381,1.48753E+11
1/13/2020,8189.77,8197.79,8079.7,8144.19,22482910688,1.47891E+11
1/14/2020,8140.93,8879.51,8140.93,8827.76,44841784107,1.60319E+11
1/15/2020,8825.34,8890.12,8657.19,8807.01,40102834650,1.59959E+11
1/16/2020,8812.48,8846.46,8612.1,8723.79,31313981931,1.58465E+11
1/17/2020,8725.21,8958.12,8677.32,8929.04,36372139320,1.62211E+11
1/18/2020,8927.21,9012.2,8827.33,8942.81,32337772627,1.62476E+11
1/19/2020,8941.45,9164.36,8620.08,8706.25,34217320471,1.58194E+11
1/20/2020,8704.63,8745.59,8560.47,8657.64,26422375678,1.57328E+11
1/21/2020,8658.99,8755.71,8544.52,8745.89,24097418512,1.58948E+11
1/22/2020,8744.21,8792.99,8636.75,8680.88,22600204051,1.57783E+11
1/23/2020,8680.65,8687.75,8333.64,8406.52,25770680779,1.52813E+11
1/24/2020,8405.57,8514.67,8266.84,8445.43,24397913026,1.53537E+11
1/25/2020,8440.12,8458.45,8296.22,8367.85,19647331549,1.52143E+11
1/26/2020,8364.41,8602.4,8325.5,8596.83,22177678796,1.56322E+11
1/27/2020,8597.31,8977.73,8597.31,8909.82,28647338393,1.62028E+11
1/28/2020,8912.52,9358.59,8908.45,9358.59,34398744403,1.70206E+11
1/29/2020,9357.47,9406.43,9269.47,9316.63,30682598115,1.69461E+11
1/30/2020,9316.02,9553.13,9230.9,9508.99,32378792851,1.72979E+11
1/31/2020,9508.31,9521.71,9230.78,9350.53,29432489719,1.70113E+11
2/1/2020,9346.36,9439.32,9313.24,9392.88,25922656496,1.70901E+11
2/2/2020,9389.82,9468.8,9217.82,9344.37,30835736946,1.70035E+11
2/3/2020,9344.68,9540.37,9248.63,9293.52,30934096509,1.69127E+11
2/4/2020,9292.84,9331.27,9112.81,9180.96,29893183716,1.67094E+11
2/5/2020,9183.42,9701.3,9163.7,9613.42,35222060874,1.74983E+11
2/6/2020,9617.82,9824.62,9539.82,9729.8,37628823716,1.77118E+11
2/7/2020,9726,9834.72,9726,9795.94,34522718159,1.78339E+11
2/8/2020,9793.07,9876.75,9678.91,9865.12,35172043762,1.79616E+11
2/9/2020,9863.89,10129.44,9850.39,10116.67,35807884663,1.84215E+11
2/10/2020,10115.56,10165.77,9784.56,9856.61,39386548075,1.79495E+11
2/11/2020,9855.89,10210.05,9729.33,10208.24,37648059389,1.85917E+11
2/12/2020,10202.39,10393.61,10202.39,10326.05,43444303830,1.88081E+11
2/13/2020,10323.96,10457.63,10116.16,10214.38,49356071373,1.86065E+11
2/14/2020,10211.55,10322,10125.53,10312.12,43338264162,1.87863E+11
2/15/2020,10313.86,10341.56,9874.43,9889.42,43865054831,1.8018E+11
2/16/2020,9889.18,10053.97,9722.39,9934.43,43374780305,1.81018E+11
2/17/2020,9936.56,9938.82,9507.64,9690.14,45998298413,1.76585E+11
2/18/2020,9691.23,10161.94,9632.38,10142,47271023953,1.84839E+11
2/19/2020,10143.8,10191.68,9611.22,9633.39,46992019710,1.75586E+11
2/20/2020,9629.33,9643.22,9507.9,9608.48,44925260237,1.75147E+11
2/21/2020,9611.78,9723.01,9589.74,9686.44,40930547513,1.76587E+11
2/22/2020,9687.71,9698.23,9600.73,9663.18,35838025154,1.76181E+11
2/23/2020,9663.32,9937.4,9657.79,9924.52,41185185761,1.80963E+11
2/24/2020,9921.58,9951.75,9537.04,9650.17,45080496648,1.75978E+11
2/25/2020,9651.31,9652.74,9305.02,9341.71,42515259129,1.7037E+11
2/26/2020,9338.29,9354.78,8704.43,8820.52,50420050762,1.60879E+11
2/27/2020,8825.09,8932.89,8577.2,8784.49,45470195695,1.60238E+11
2/28/2020,8788.73,8890.46,8492.93,8672.46,44605450443,1.58212E+11
2/29/2020,8671.21,8775.63,8599.51,8599.51,35792392544,1.56896E+11
3/1/2020,8599.76,8726.8,8471.21,8562.45,35349164300,1.56239E+11
3/2/2020,8563.26,8921.31,8532.63,8869.67,42857674409,1.61861E+11
3/3/2020,8865.39,8901.6,8704.99,8787.79,42386715821,1.60384E+11
3/4/2020,8788.54,8843.37,8712.43,8755.25,34746706368,1.59808E+11
3/5/2020,8760.29,9142.05,8757.25,9078.76,39698054597,1.65732E+11
3/6/2020,9078.31,9167.7,9032.08,9122.55,40826885651,1.66548E+11
3/7/2020,9121.6,9163.22,8890.74,8909.95,36216930370,1.62685E+11
3/8/2020,8908.21,8914.34,8105.25,8108.12,39973102121,1.4806E+11
3/9/2020,8111.15,8177.79,7690.1,7923.64,46936995808,1.44706E+11
3/10/2020,7922.15,8136.95,7814.76,7909.73,42213940994,1.44466E+11
3/11/2020,7910.09,7950.81,7642.81,7911.43,38682762605,1.44508E+11
3/12/2020,7913.62,7929.12,4860.35,4970.79,53980357243,90804613601
3/13/2020,5017.83,5838.11,4106.98,5563.71,74156772075,1.01645E+11
3/14/2020,5573.08,5625.23,5125.07,5200.37,36154506008,95014981944
3/15/2020,5201.07,5836.65,5169.28,5392.31,33997889639,98530059890
3/16/2020,5385.23,5385.23,4575.36,5014.48,45368026430,91633478850
3/17/2020,5002.58,5371.35,4981.91,5225.63,38622642935,95499941183
3/18/2020,5227.11,5331.83,5069.34,5238.44,37878801016,95740715529
3/19/2020,5245.42,6329.74,5236.97,6191.19,51000731797,1.13162E+11
3/20/2020,6191.65,6844.26,5865.78,6198.78,54442976103,1.13309E+11
3/21/2020,6206.52,6378.14,5932.82,6185.07,42494390880,1.13068E+11
3/22/2020,6185.56,6359.7,5823.71,5830.25,40099664740,1.06591E+11
3/23/2020,5831.37,6443.93,5785,6416.31,46491916000,1.17315E+11
3/24/2020,6436.64,6789.02,6411.07,6734.8,48221910672,1.23149E+11
